          Pi       NnzSnp      SigmaSq            S       ResVar       GenVar     SigmaSqG          hsq 
  0.00869952        24318  0.000271627    -0.150365      6.59097      1.58571      2.43201     0.206887 









  0.00533315        15029  9.54225e-05    -0.325332      7.16555     0.655502     0.665756    0.0855232 









  0.00540519        15045  8.47329e-05    -0.332263      7.16859      0.60354     0.602289    0.0787438 






   0.0167992        47031  3.66754e-05  -0.00358183      7.15263       0.6288     0.629279    0.0820394 









   0.0168886        47063  3.64228e-05  -0.00980411      7.15105     0.634112     0.624045    0.0827324 









   0.0174427        48499  3.63358e-05   -0.0066081      7.11585     0.648355     0.645175    0.0845908 









   0.0175465        49012  3.51379e-05   -0.0171306      7.13981     0.647883     0.636441    0.0845291 









   0.0179215        50265  3.55182e-05   -0.0163223       7.1208     0.664923     0.659234    0.0867523 









   0.0182375        51045  3.49877e-05  -0.00739679      7.14018     0.652677      0.64296    0.0851546 









   0.0183462        51317  3.61472e-05   -0.0147332      7.08922     0.681121     0.681599    0.0888658 









   0.0186452        52307  3.44913e-05   -0.0132224       7.1097      0.65796     0.662434     0.085844 









   0.0185764        51864  3.40188e-05  -0.00813904      7.12697     0.651831     0.648674    0.0850442 









   0.0190232        53511  3.38809e-05 -0.000657041       7.1591     0.664221     0.654948    0.0866607 









   0.0190411        53950  3.33178e-05 -0.000657041        7.117     0.653282     0.644063    0.0852336 









   0.0192938        54147  3.25665e-05   0.00486543      7.06271     0.636733     0.641966    0.0830744 









    0.018975        53008  3.41129e-05    0.0427692      7.10388      0.63827     0.637922     0.083275 









   0.0192602        53918   3.4125e-05    0.0407164      7.10908     0.656117     0.652503    0.0856035 









   0.0196152        54795  3.40139e-05    0.0509468       7.1352     0.646891     0.653321    0.0843997 









   0.0198122        55428   3.3206e-05    0.0238607      7.15632     0.650007     0.656909    0.0848062 









   0.0196672        54717  3.23656e-05     0.020497       7.1466     0.639762     0.636948    0.0834696 









   0.0199551        55652  3.21585e-05   0.00291273      7.10044     0.661533     0.648367      0.08631 









