          Pi       NnzSnp      SigmaSq            S       ResVar       GenVar     SigmaSqG          hsq 
  0.00876489        24580  0.000349058    -0.122048      7.13173      2.02552      2.94805     0.236729 









  0.00539352        15009  0.000121047    -0.279984       7.9642     0.746202     0.772043    0.0872111 









   0.0049558        13977  0.000104435    -0.300148      7.99061     0.649878     0.641248    0.0759533 






   0.0113931        31966  6.00827e-05    0.0702525      8.04332     0.616422     0.621705    0.0720433 









   0.0116139        32277  5.93314e-05    0.0925391      8.06122     0.601739     0.602469    0.0703272 









   0.0119488        33671  5.87523e-05    0.0899884      7.99475     0.628475     0.625042     0.073452 









   0.0122221        34434  5.83369e-05    0.0880112      8.06539     0.638669     0.636195    0.0746433 









    0.012221        34204  6.06676e-05     0.116873      8.03286     0.641865     0.649098    0.0750169 









   0.0120727        33736  6.13185e-05     0.126946      8.03324     0.626625     0.635138    0.0732358 









   0.0123119        34622  5.83965e-05     0.114191      8.01465     0.622938     0.631259    0.0728048 









   0.0124724        34869  5.73462e-05    0.0994289      8.01581     0.634814     0.631967    0.0741928 









   0.0124715        35092  5.61675e-05     0.100876      8.00128     0.626683      0.62016    0.0732425 









   0.0125295        35394  5.60061e-05     0.107643      8.07102     0.617162     0.622555    0.0721297 









   0.0125823        35327  5.49842e-05     0.111274      8.06194     0.610313     0.611163    0.0713293 









   0.0126246        35735  5.40368e-05     0.100413      8.03653     0.610952     0.612726     0.071404 









   0.0122215        34711  5.51321e-05    0.0780571      8.02887     0.619275     0.617007    0.0723767 









    0.011921        33670  5.66238e-05      0.10236      8.03292     0.602605     0.598606    0.0704285 









   0.0119611        33528  5.90722e-05     0.104034      7.99873     0.637686     0.625755    0.0745285 









   0.0113991        32143  6.15224e-05     0.100368      8.01029     0.620609      0.62706    0.0725326 









   0.0111461        31271   6.1878e-05     0.143803      8.03715     0.598403      0.58803    0.0699373 









   0.0105066        29741  6.10052e-05     0.141271      8.04772     0.566981     0.558164     0.066265 









   0.0105686        29831  6.35711e-05     0.141434      8.05489     0.582898     0.577089    0.0681252 









   0.0106378        29823  6.29793e-05     0.111435      7.99913     0.598014     0.592618    0.0698919 









   0.0107869        30321  6.33184e-05     0.132151      8.05531     0.600656     0.593447    0.0702006 









   0.0110114        30775  6.12959e-05     0.140806      8.07318     0.587441     0.575827    0.0686561 









    0.011487        32017  6.04784e-05     0.117788      8.02952     0.613629     0.606669    0.0717169 









   0.0114811        32182  5.88499e-05     0.104767       8.0505     0.603855     0.596075    0.0705745 









   0.0119058        33542  6.11959e-05     0.101414      8.02397     0.638866     0.650074    0.0746664 









   0.0122498        34423  5.73538e-05    0.0810787      8.04522     0.632963      0.61796    0.0739765 









   0.0123798        34762  5.70786e-05    0.0887165      8.00806      0.63373     0.636229    0.0740661 









   0.0126941        35772  5.49504e-05    0.0338858      7.98821     0.648518     0.656199    0.0757944 









   0.0125201        35076  5.45418e-05    0.0174168      8.00531     0.641862      0.63804    0.0750166 









   0.0125247        35413  5.65051e-05    0.0294197      8.04936     0.660854     0.662321    0.0772362 









   0.0126454        36072  5.43983e-05   -0.0258741      7.95644     0.675203     0.675802    0.0789132 









   0.0126931        35787  5.29035e-05   -0.0260925      7.91473     0.663413     0.655762    0.0775352 









   0.0126865        35567  5.47409e-05   -0.0199603      7.95363     0.664792     0.668131    0.0776965 









   0.0126554        35571  5.29421e-05   0.00333955      7.98861     0.651199     0.638571    0.0761078 









   0.0126363        35423  5.48143e-05   0.00453316      8.00087     0.668271     0.648842    0.0781031 









   0.0128826        36181  5.56684e-05   -0.0149451       8.0112     0.693327      0.69743    0.0810314 









     0.01226        34189  5.43822e-05   -0.0423942      8.05112     0.654958     0.648842    0.0765471 









     0.01258        35190  5.49203e-05   -0.0394878      7.95368     0.678222     0.687917     0.079266 









   0.0123831        34442    5.404e-05   -0.0345584       7.9858     0.656869     0.651851    0.0767705 









   0.0126089        35247  5.10515e-05   -0.0360892      7.99684     0.642716     0.629182    0.0751163 









   0.0130433        36502  5.06296e-05   -0.0392005      8.02251     0.663797     0.648662    0.0775801 









   0.0134668        37557  5.01329e-05    -0.051062      7.98895     0.667984     0.658681    0.0780694 









   0.0133836        37153  4.95975e-05   -0.0443229      7.96377     0.646416     0.645279    0.0755488 









   0.0138478        39166  4.97121e-05   -0.0221211      8.04844     0.669216     0.667365    0.0782135 









   0.0139581        39088  4.93523e-05  -0.00371093      8.04391     0.654589     0.652719     0.076504 









   0.0139748        39410  4.82233e-05  -0.00597238      8.03264     0.647881     0.645699      0.07572 









   0.0140184        39271  4.91384e-05  -0.00286093      7.99198     0.652833      0.65504    0.0762987 









    0.014669        41478  4.97225e-05    0.0264925      7.97172     0.688102      0.68556    0.0804208 









   0.0147527        41556  4.92022e-05    0.0260141      7.93148     0.685554     0.676017    0.0801229 









   0.0141258        39948  4.87243e-05    0.0169195      8.02044      0.65398     0.655371    0.0764327 









   0.0142452        39638  4.75118e-05  -0.00533615      8.00495     0.647133     0.640786    0.0756325 









   0.0145909        41501   4.3971e-05   -0.0128356      8.01523     0.633987     0.632253    0.0740961 









   0.0145973        41103  4.46562e-05 -0.000911564      7.98373     0.635776     0.621032    0.0743052 









   0.0148315        41906  4.51251e-05   -0.0149121       7.9545     0.646344     0.649117    0.0755403 









   0.0147576        41562  4.36138e-05   -0.0332004        8.049     0.629503     0.625764    0.0735721 









   0.0142588        40039  4.16852e-05   -0.0251251      8.07238     0.584954     0.578313    0.0683655 









   0.0148693        41821   4.0732e-05   -0.0296036      8.04751      0.59401     0.594177    0.0694239 









   0.0153554        43048  4.17844e-05   -0.0101475      7.97458     0.617667     0.622615    0.0721887 









